qgis_version,date,snapshot,snap_date,rasterio_version,rasterio_date,fiona_version,fiona_date,geopandas_version,geopandas_date
3.26.1,2022-07-18 07:50:00,20220719-022014,2022-07-19 02:20:14,1.2.10,2021-11-11 12:36:00,1.8.21,2022-06-28 17:19:00,0.8.1,2020-10-28 20:56:00
3.22.9,2022-07-18 08:34:00,20220719-022014,2022-07-19 02:20:14,1.2.10,2021-11-11 12:36:00,1.8.21,2022-06-28 17:19:00,0.8.1,2020-10-28 20:56:00
3.26.2,2022-08-12 22:07:00,20220812-230715,2022-08-12 23:07:15,1.2.10,2021-11-11 12:36:00,1.8.21,2022-06-28 17:19:00,0.8.1,2020-10-28 20:56:00
3.22.10,2022-08-12 23:21:00,20220813-003559,2022-08-13 00:35:59,1.2.10,2021-11-11 12:36:00,1.8.21,2022-06-28 17:19:00,0.8.1,2020-10-28 20:56:00
3.26.3,2022-09-09 18:13:00,20220909-191627,2022-09-09 19:16:27,1.2.10,2021-11-11 12:36:00,1.8.21,2022-06-28 17:19:00,0.11.1,2022-09-02 09:07:00
3.22.11,2022-09-09 19:07:00,20220909-191627,2022-09-09 19:16:27,1.2.10,2021-11-11 12:36:00,1.8.21,2022-06-28 17:19:00,0.11.1,2022-09-02 09:07:00
3.22.12,2022-10-21 15:19:00,20221021-160944,2022-10-21 16:09:44,1.2.10,2021-11-11 12:36:00,1.8.21,2022-06-28 17:19:00,0.11.1,2022-09-02 09:07:00
3.28.0,2022-10-21 21:53:00,20221021-224924,2022-10-21 22:49:24,1.2.10,2021-11-11 12:36:00,1.8.21,2022-06-28 17:19:00,0.11.1,2022-09-02 09:07:00
3.28.1,2022-11-29 12:01:00,20221130-001827,2022-11-30 00:18:27,1.3.3,2022-11-11 15:30:00,1.8.21,2022-06-28 17:19:00,0.11.1,2022-09-02 09:07:00
3.22.13,2022-11-29 13:00:00,20221130-001827,2022-11-30 00:18:27,1.3.3,2022-11-11 15:30:00,1.8.21,2022-06-28 17:19:00,0.11.1,2022-09-02 09:07:00
3.28.2,2022-12-16 16:05:00,20221217-002522,2022-12-17 00:25:22,1.3.3,2022-11-11 15:30:00,1.8.22,2022-12-07 13:52:00,0.11.1,2022-09-02 09:07:00
3.22.14,2022-12-16 17:10:00,20221217-002522,2022-12-17 00:25:22,1.3.3,2022-11-11 15:30:00,1.8.22,2022-12-07 13:52:00,0.11.1,2022-09-02 09:07:00
3.28.3,2023-01-28 12:22:00,20230129-002553,2023-01-29 00:25:53,1.3.3,2022-11-11 15:30:00,1.8.22,2022-12-07 13:52:00,0.11.1,2022-09-02 09:07:00
3.22.15,2023-01-28 13:30:00,20230129-002553,2023-01-29 00:25:53,1.3.3,2022-11-11 15:30:00,1.8.22,2022-12-07 13:52:00,0.11.1,2022-09-02 09:07:00
3.22.16,2023-02-03 18:05:00,20230204-002643,2023-02-04 00:26:43,1.3.3,2022-11-11 15:30:00,1.8.22,2022-12-07 13:52:00,0.11.1,2022-09-02 09:07:00
3.30.0,2023-03-09 16:35:00,20230309-175121,2023-03-09 17:51:21,1.3.3,2022-11-11 15:30:00,1.8.22,2022-12-07 13:52:00,0.11.1,2022-09-02 09:07:00
3.28.4,2023-03-09 17:36:00,20230309-175121,2023-03-09 17:51:21,1.3.3,2022-11-11 15:30:00,1.8.22,2022-12-07 13:52:00,0.11.1,2022-09-02 09:07:00
3.28.5,2023-04-01 19:10:00,20230401-194940,2023-04-01 19:49:40,1.3.6,2023-03-19 20:16:00,1.9.2,2023-03-21 12:16:00,0.12.2,2023-03-19 20:38:00
3.30.1,2023-04-01 20:16:00,20230402-105755,2023-04-02 10:57:55,1.3.6,2023-03-19 20:16:00,1.9.2,2023-03-21 12:16:00,0.12.2,2023-03-19 20:38:00
3.30.2,2023-04-28 16:25:00,20230428-171032,2023-04-28 17:10:32,1.3.6,2023-03-19 20:16:00,1.9.2,2023-03-21 12:16:00,0.12.2,2023-03-19 20:38:00
3.28.6,2023-04-28 17:29:00,20230428-224215,2023-04-28 22:42:15,1.3.6,2023-03-19 20:16:00,1.9.2,2023-03-21 12:16:00,0.12.2,2023-03-19 20:38:00
3.30.3,2023-05-27 09:54:00,20230527-103845,2023-05-27 10:38:45,1.3.7,2023-05-23 16:34:00,1.9.3,2023-05-12 08:34:00,0.13.0,2023-05-12 08:38:00
3.28.7,2023-05-27 11:11:00,20230528-002746,2023-05-28 00:27:46,1.3.7,2023-05-23 16:34:00,1.9.3,2023-05-12 08:34:00,0.13.0,2023-05-12 08:38:00
3.32.0,2023-06-24 01:18:00,20230624-015732,2023-06-24 01:57:32,1.3.7,2023-05-23 16:34:00,1.9.3,2023-05-12 08:34:00,0.13.0,2023-05-12 08:38:00
3.28.8,2023-06-24 02:54:00,20230624-054005,2023-06-24 05:40:05,1.3.7,2023-05-23 16:34:00,1.9.3,2023-05-12 08:34:00,0.13.0,2023-05-12 08:38:00
3.32.1,2023-07-24 16:40:00,20230724-170623,2023-07-24 17:06:23,1.3.8,2023-07-14 09:49:00,1.9.4,2023-07-14 09:46:00,0.13.2,2023-07-14 11:27:00
3.28.9,2023-07-24 17:58:00,20230724-195756,2023-07-24 19:57:56,1.3.8,2023-07-14 09:49:00,1.9.4,2023-07-14 09:46:00,0.13.2,2023-07-14 11:27:00
3.32.2,2023-08-18 16:15:00,20230818-194135,2023-08-18 19:41:35,1.3.8,2023-07-14 09:49:00,1.9.4,2023-07-14 09:46:00,0.13.2,2023-07-14 11:27:00
3.28.10,2023-08-18 19:08:00,20230818-194135,2023-08-18 19:41:35,1.3.8,2023-07-14 09:49:00,1.9.4,2023-07-14 09:46:00,0.13.2,2023-07-14 11:27:00
3.32.3,2023-09-15 16:24:00,20230915-170231,2023-09-15 17:02:31,1.3.8,2023-07-14 09:49:00,1.9.4,2023-07-14 09:46:00,0.13.2,2023-07-14 11:27:00
3.28.11,2023-09-15 17:41:00,20230916-002525,2023-09-16 00:25:25,1.3.8,2023-07-14 09:49:00,1.9.4,2023-07-14 09:46:00,0.13.2,2023-07-14 11:27:00
3.28.12,2023-10-27 15:16:00,20231027-155147,2023-10-27 15:51:47,1.3.8,2023-07-14 09:49:00,1.9.4,2023-07-14 09:46:00,0.13.2,2023-07-14 11:27:00
3.34.0,2023-11-07 12:41:00,20231108-010544,2023-11-08 01:05:44,1.3.8,2023-07-14 09:49:00,1.9.4,2023-07-14 09:46:00,0.13.2,2023-07-14 11:27:00
